Column1;name;chembl_id;chembl_max_phase;composite_score;Score;Score comment;cns_target;primary_target;nasal_cyp_risk;molecular_weight;logP;PSA;H_donors;rotatable_bonds;vapor_pressure_mmhg;melting_point_c;pka_predicted;logD_pH6;logD_pH74;max_dose_mg;dose_feasible_nosa;original_applicant_normalized;earliest_patent_expiry;atc_code;mesh_heading;mechanism_of_action;target_name;physical_state;half_life;dosage_form;synonyms;indication_class
25;KETAMINE;CHEMBL742;4;87.9;1;NMDA antag.Nasal spray for res depr of esketamine. ? if niche vs nasal spray use??;??;Glutamate receptor ionotropic, NMDA 3A (GluN3A)…;??;?? 237.73 [C] (DrugBank: 237.725);2.90 [C];29.10;1.0;2.0;—;92.50;9.50;-0.60;0.80;84.00 [CT];?;Hikma;—;N01AX03;Severe Acute Respiratory Syndrome|Depressive Disorder, Major|Wounds and Injuries|Pain|Stress Disorders, Post-Traumatic|Postoperative Complications|Epilepsy|Obesity, Morbid|Obsessive-Compulsive Disorder|Opioid-Related Disorders|Stroke|Substance-Related Disorders|Suicidal Ideation|Cocaine-Related Disorders|Fractures, Bone|Mental Disorders|Neuralgia|Subarachnoid Hemorrhage|Child Development Disorders, Pervasive|Paget Disease, Extramammary|Shock, Septic|Mucositis|Phobia, Social|Headache|Borderline Personality Disorder|Cognitive Dysfunction|Sepsis|Hypertrophy|Tobacco Use Disorder|Radius Fractures|Status Epilepticus|Status Asthmaticus|Delirium|Renal Colic|Strabismus|Chronic Pain|Marijuana Abuse|Coronavirus Infections|Depression, Postpartum|Fractures, Multiple|Depressive Disorder, Treatment-Resistant|Respiratory Distress Syndrome|Complex Regional Pain Syndromes|Fatigue|Depressive Disorder|Pharyngitis|Breast Neoplasms|Lung Neoplasms|Perceptual Disorders|Brain Injuries|Temporomandibular Joint Disorders|Hemorrhoids|Ischemic Stroke|Heart Arrest|Rib Fractures|Appendicitis|Respiratory Insufficiency|Head and Neck Neoplasms|Heart Septal Defects, Ventricular|Schizophrenia|Cataract|Alcoholism|Rett Syndrome|Anemia, Sickle Cell|Cancer Pain|Neural Tube Defects|Dental Anxiety|Bipolar Disorder|Neoplasms|Lung Diseases|Spinal Stenosis|Parkinson Disease|Multiple Sclerosis;?? Ketamine interacts with N-methyl-D-aspartate (NMDA) recep… [DB];—;solid [DB];The reported half-life in preclinical studies f… [DB];parenteral;Anaket v|ANAKET V|Calypsol|CALYPSOL|Clorketam 1000|CLORKETAM 1000|Dl-ketamine|DL-KETAMINE|Imalgene 1000|IMALGENE 1000|Ketalar|KETALAR|Ketamina|KETAMINA|Ketamine|KETAMINE|Ketamine component of ketafol|KETAMINE COMPONENT OF KETAFOL|Ketasol 100|KETASOL 100|Narketan|NARKETAN|NSC-70151|PMI-150|Tekam|TEKAM|Ursotamin|URSOTAMIN|Vetaket|VETAKET;?? Ketamine is indicated as an anesthetic agent for recommen… [DB]
26;ANTAZOLINE;CHEMBL1305;4;87.9;0;1st gen antihistamine;??;—;;?? 265.36 [C] (DrugBank: 265.3529);2.69 [C];27.63;1.0;5.0;—;227.00;9.50;-0.81;0.59;100.00 [CT];?;Novartis;—;R01AC04|R06AX05;Nasal Obstruction|Hypersensitivity;?? Antazoline binds to the histamine H1 receptor. This block… [DB];—;solid [DB];—;topical;Antazolina|ANTAZOLINA|Antazoline|ANTAZOLINE|Antaz sulf|ANTAZ SULF|Atazoline|ATAZOLINE|Vasocon-a|VASOCON-A;?? Used to relieve nasal congestion and in eye drops, usuall… [DB]
27;MEQUINOL;CHEMBL544;4;87.9;0;Skin depigmentation use;;—;;?? 124.14 [C] (DrugBank: 124.1372);1.40 [C];29.46;1.0;1.0;0.01;52.50;10.00;1.40;1.40;—;?;Almirall;—;D11AX06;—;?? Solar lentigines and related hyperpigmented lesions are l… [DB] (ChEMBL: Tyrosinase inhibitor);Tyrosinase;—;Mequinol demonstrated an elimination half-life … [DB];topical;"4ha|4HA|4-hydroxyanisole|4-HYDROXYANISOLE|4-methoxyphenol|4-METHOXYPHENOL|BMS-181158|Hqmme; hydroxyquinone methyl ether|HQMME; HYDROXYQUINONE METHYL ETHER|Leucobasal|LEUCOBASAL|Leucodine b|LEUCODINE B|Mechinolum|MECHINOLUM|Menthyl anthranilate|MENTHYL ANTHRANILATE|Mequinol|MEQUINOL|Mequinol component of solage|MEQUINOL COMPONENT OF SOLAGE|Novo-dermoquinona|NOVO-DERMOQUINONA|NSC-4960|P-guaiacol|P-GUAIACOL|P-hydroxyanisole|P-HYDROXYANISOLE";?? Mequinol is currently primarily available only as an acti… [DB]
28;CLOROPHENE;CHEMBL1328919;2;87.7;0;??;;—;;?? 218.68 [C];3.64 [C];20.23;1.0;2.0;0.10;48.50;10.00;3.64;3.64;—;?;—;—;—;—;—;—;—;—;—;4-chloro-.alpha.-phenyl-o-cresol|4-CHLORO-.ALPHA.-PHENYL-O-CRESOL|5-chloro-2-hydroxydiphenylmethane|5-CHLORO-2-HYDROXYDIPHENYLMETHANE|Chlorophene|CHLOROPHENE|Clorofene|CLOROFENE|Clorofeno|CLOROFENO|Clorophene|CLOROPHENE|NSC-59989|O-benzyl-p-chlorophenol|O-BENZYL-P-CHLOROPHENOL|Santophen 1|SANTOPHEN 1;—
29;MEMANTINE;CHEMBL807;4;87.7;0;NMDAantag. Alz. Generic OSD. No diff nasal PKPD;??;Glutamate receptor ionotropic, NMDA 1 (GluN1) (…;??;?? 179.31 [C] (DrugBank: 179.3018);2.69 [C];26.02;1.0;0.0;—;290.00;9.50;-0.81;0.59;40.00 [CT];?;AbbVie;2029-03-24;N06DX01;Cognitive Dysfunction|Psychotic Disorders|Alcoholism|Substance-Related Disorders|Child Development Disorders, Pervasive|Tobacco Use Disorder|Autistic Disorder|Pain|Cocaine-Related Disorders|Alcohol Drinking|Opioid-Related Disorders|Fibromyalgia|Neuralgia|Glioblastoma|Obsessive-Compulsive Disorder|Anxiety|Obesity|Glaucoma, Open-Angle|Heroin Dependence|Dementia|Glioma|Tension-Type Headache|Depressive Disorder, Major|Central Nervous System Diseases|Ischemic Stroke|Trichotillomania|Depressive Disorder|Alzheimer Disease|Amyotrophic Lateral Sclerosis|Schizophrenia|Parkinson Disease|Migraine Disorders|Multiple Sclerosis|Huntington Disease|Fragile X Syndrome|Bipolar Disorder|Neoplasms|Lupus Erythematosus, Systemic|Central Nervous System Neoplasms;?? Continuous activation of the N-methyl-D-aspartate (NMDA) … [DB];—;solid [DB];The terminal elimination half-life of memantine… [DB];oral;D-145|DRG-0267|Memantina|MEMANTINA|Memantine|MEMANTINE|NSC-757843;?? Memantine is used to manage moderate to severe Alzheimer'… [DB]
30;PHENTOLAMINE;CHEMBL597;4;87.1;0;aAdrR antag. Rapid MoA & use eg iv. No diff nasal PKPD;??;Alpha-1A adrenergic receptor (Alpha-1A adrenore…;;?? 281.36 [C] (DrugBank: 281.3523);2.84 [C];47.86;2.0;4.0;—;175.00;9.50;-0.66;0.74;0.00 [CT];?;Hikma;2034-01-31;V03AB36|C04AB01;Cardiovascular Diseases|Hypoglycemia|Obesity|Mydriasis|Presbyopia|Sleep Apnea, Obstructive;?? Phentolamine produces its therapeutic actions by competit… [DB];—;solid [DB];19 minutes [DB];parenteral|topical;Fentolamina|FENTOLAMINA|Phentolamin|PHENTOLAMIN|Phentolamine|PHENTOLAMINE;?? Used as an aid for the diagnosis of pheochromocytoma, and… [DB]
31;TRICHLORFON;CHEMBL167150;2;87.1;0;irr ACHRi. Insecticide.;;—;;?? 257.44 [C] (DrugBank: 257.437);2.16 [C];55.76;1.0;3.0;0.00;82.78;10.00;2.16;2.16;—;?;—;—;P02BB01;Helminthiasis;?? Acetylcholinesterase 1 inhibitor [C];Acetylcholinesterase 1;—;—;—;BAY-A 9826|BAYER L 1359|BAYER-L-1359|Bilarcil|BILARCIL|DETF|ENT-19,763|Metrifonate|METRIFONATE|Metrifonato|METRIFONATO|Metrifonatum|METRIFONATUM|Metriphonate|METRIPHONATE|NSC-8923|Trichlorfon|TRICHLORFON|Trichlorofon|TRICHLOROFON|Triclorfon|TRICLORFON|WEC-50;—
32;vanillin;—;—;87.1;0;Food flavour;;—;;?? 152.15 [C];1.20 [C];46.50;1.0;2.0;1.00;81.11;10.00;1.20;1.20;—;?;—;—;—;—;—;—;—;—;—;—;?? Natural product / volatile
33;NANDROLONE;CHEMBL757;3;87.1;0;AAS. Generic po im sc.No diff nasal PKPD use'';;—;;?? 274.4 [C] (DrugBank: 274.3978);3.49 [C];37.30;1.0;0.0;—;112.00;10.00;3.49;3.49;50.00 [CT];?;—;—;—;Anemia, Aplastic;—;—;solid [DB];—;—;Biobol|BIOBOL|Decadura|DECADURA|Hybolin|HYBOLIN|Menidrabol|MENIDRABOL|Nandrolone|NANDROLONE|Nandrolone ciii|NANDROLONE CIII|NSC-3351;—
34;DAPSONE;CHEMBL1043;4;87.0;0;Antibiotic, autoimmune use. Generic po topic. No diff nasal use.;;Inactive dihydropteroate synthase 2 (DHPS 2) (D…;??;?? 248.31 [C] (DrugBank: 248.301);1.68 [C];86.18;2.0;2.0;0.00;175.00;9.50;-1.82;-0.42;100.00 [CT];?;Almirall;2033-11-18;D10AX05|J04BA02;Acne Vulgaris|Stroke|Malaria|Carcinoma, Non-Small-Cell Lung|Pemphigus|Malaria, Falciparum|Malaria, Vivax|Rosacea|Dermatitis Herpetiformis|Pulmonary Fibrosis|HIV Infections|Leprosy|Pneumonia, Pneumocystis|Pemphigoid, Benign Mucous Membrane|Fever|Severe Acute Respiratory Syndrome|Sarcoidosis|Lung Diseases;?? Dapsone acts against bacteria and protozoa in the same wa… [DB] (ChEMBL: Dihydropteroate synthase 1 inhibitor);Dihydropteroate synthase;solid [DB];28 hours (range 10-50 hours) [DB];oral|topical;Aczone|ACZONE|Dapsona|DAPSONA|Dapsone|DAPSONE|Dapsonum|DAPSONUM|Diaminodiphenylsulfone|DIAMINODIPHENYLSULFONE|Diaphenylsulfone|DIAPHENYLSULFONE|J04BA02|Novophone|NOVOPHONE|NSC-6091|NSC-6091D|Servidapson|SERVIDAPSON;?? For the treatment and management of leprosy and dermatiti… [DB]
35;PHENYLBUTANOIC ACID;CHEMBL1469;4;87.0;0;Chem starting point.;;—;;?? 164.2 [C];2.09 [C];37.30;1.0;4.0;0.00;47.00;4.20;0.28;-1.11;—;?;—;—;A16AX03;HIV Infections|Brain Neoplasms|Tuberculosis, Pulmonary|Neuroblastoma|Myositis, Inclusion Body|Maple Syrup Urine Disease|beta-Thalassemia;—;—;—;—;oral;Phenylbutanoic acid|PHENYLBUTANOIC ACID;—
36;CARVACROL;CHEMBL281202;2;86.9;0;Odor - oregano etc;;—;;?? 150.22 [C] (DrugBank: 150.221);2.82 [C];20.23;1.0;1.0;—;1.00;10.00;2.82;2.82;6.00 [CT];?;—;—;—;—;—;—;—;—;—;2-hydroxy-p-cymene|2-HYDROXY-P-CYMENE|2-p-cymenol|2-P-CYMENOL|Antioxine|ANTIOXINE|Carvacrol|CARVACROL|Dentol|DENTOL|FEMA NO. 2245|Isopropyl-o-cresol|ISOPROPYL-O-CRESOL|Isothymol|ISOTHYMOL|NSC-6188;—
37;GUAIACOL;CHEMBL13766;3;86.9;0;Odor  - woods etc;;—;;?? 124.14 [C] (DrugBank: 124.139);1.40 [C];29.46;1.0;1.0;5.00;28.00;10.00;1.40;1.40;—;?;—;—;—;Cough;—;—;—;—;—;Creodon|CREODON|FEMA NO. 2532|Guaiacol|GUAIACOL|Guaiastil|GUAIASTIL|(mu)-methoxyphenol|(MU)-METHOXYPHENOL|NSC-3815|O-guaiacol|O-GUAIACOL|O-hydroxyanisole|O-HYDROXYANISOLE|Pyroguaiac acid|PYROGUAIAC ACID;?? It is used medicinally as an expectorant, antiseptic, and… [DB]
38;PROPRANOLOL;CHEMBL27;4;86.9;0;betablocker. No diff nasal use.;??;—;;?? 259.35 [C] (DrugBank: 259.3434);2.58 [C];41.49;2.0;6.0;—;96.00;9.50;-0.92;0.48;0.55 [C];?;Wyeth;2028-10-16;C07AA05;Anxiety|Pancreatic Neoplasms|Hemangioma, Cavernous, Central Nervous System|Carcinoma, Hepatocellular|Cardiovascular Diseases|Pulmonary Disease, Chronic Obstructive|Hypertension|Wounds and Injuries|Hypertension, Portal|Carcinoma, Renal Cell|Stroke|Melanoma|Stress Disorders, Post-Traumatic|Multiple Myeloma|Liver Cirrhosis|Cocaine-Related Disorders|Kidney Diseases|Child Development Disorders, Pervasive|Pain|Osteoporosis|Sleep Apnea, Obstructive|Hemangiosarcoma|Colorectal Neoplasms|Panic Disorder|Smoking Cessation|Hypotension, Orthostatic|Fibromyalgia|Hemangioma|Dystocia|Retinopathy of Prematurity|Ascites|Myocardial Infarction|Death, Sudden, Cardiac|Ventricular Fibrillation|Alcohol Drinking|Burns|Orthostatic Intolerance|Myocardial Ischemia|Syncope|Hypoglycemia|Tachycardia, Supraventricular|Shoulder Pain|Esophageal and Gastric Varices|Low Back Pain|Stomach Neoplasms|Depressive Disorder, Major|Papilloma|Substance-Related Disorders|Breast Neoplasms|Brain Injuries|Hypotension|Headache|Macular Degeneration|Stress Disorders, Traumatic, Acute|Asthma|Diabetes Mellitus, Type 1|Migraine Disorders|Migraine with Aura|Marfan Syndrome|Anemia, Sickle Cell|Telangiectasia, Hereditary Hemorrhagic|Lymphedema|Migraine without Aura|Sarcoma, Kaposi|Triple Negative Breast Neoplasms|Dental Anxiety|Prostatic Neoplasms, Castration-Resistant|Coronary Disease|Heart Diseases|Arrhythmias, Cardiac|Hypoxia|Memory|Aphasia;?? Propranolol is a nonselective ?-adrenergic receptor antag… [DB];—;solid [DB];The elimination half life of propranolol is app… [DB];oral|parenteral;AY-64043-|Betalong|BETALONG|.beta.-propranolol|.BETA.-PROPRANOLOL|Dl-propranolol|DL-PROPRANOLOL|Euprovasin|EUPROVASIN|Inderide-40/25|Inderide-80/25|Propranolol|PROPRANOLOL|Proprasylyt|PROPRASYLYT|Reducor|REDUCOR;?? Propranolol is indicated to treat hypertension.[L6907,L69… [DB]
39;PHENTERMINE;CHEMBL1574;4;86.7;0;Monoamine release. Ob.  Contr sub. Poor benefit/risk. No diff nasal PKPD.;??;Amine oxidase [flavin-containing] A (EC 1.4.3.2…;??;?? 149.24 [C] (DrugBank: 149.2328);1.97 [C];26.02;1.0;2.0;—;198.00;9.50;-1.53;-0.13;92.00 [CT];?;Takeda;2028-06-09;A08AA01;Obesity|Substance-Related Disorders|Diabetes Mellitus|Liver Diseases|Bulimia Nervosa|Obesity, Morbid|Kidney Diseases;?? Phentermine is an indirect-acting sympathomimetic agent t… [DB] (ChEMBL: Norepinephrine transporter releasing agent);Sodium-dependent noradrenaline transporter;solid [DB];The mean terminal half-life of phentermine is r… [DB];oral;Duromine|DUROMINE|Fentermina|FENTERMINA|Ionamin|IONAMIN|NSC-759163|Phentermine|PHENTERMINE|Phentermine component of qsymia|PHENTERMINE COMPONENT OF QSYMIA|Phentermine resin|PHENTERMINE RESIN|Phentermine resin 30|PHENTERMINE RESIN 30|Phentermine resin complex|PHENTERMINE RESIN COMPLEX|Qsiva|QSIVA;?? Phentermine is indicated, alone or in combination with to… [DB]
40;FENFLURAMINE;CHEMBL87493;4;86.6;0;SRA. Disc for ob. Now as orphan epilepsia. ;??;Sodium-dependent serotonin transporter (SERT) (…;??;?? 231.26 [C] (DrugBank: 231.2573);3.25 [C];12.03;1.0;4.0;—;160.00;9.50;-0.25;1.15;20.00 [CT];?;Ucb;2033-05-03;A08AA02|N03AX26;Epilepsy|Obesity|Cocaine-Related Disorders|Spasms, Infantile|Lennox Gastaut Syndrome;?? Dravet syndrome is a complex pediatric encephalopathy cha… [DB];—;solid [DB];Fenfluramine has an elimination half-life of 20… [DB];oral;Acino|ACINO|Brabafen|BRABAFEN|Fenfluramin|FENFLURAMIN|Fenfluramina|FENFLURAMINA|Fenfluramine|FENFLURAMINE|J5.760F|Obedrex|OBEDREX|Pesos|PESOS|Phenfluramine|PHENFLURAMINE|Ponderax pa|PONDERAX PA|Rotondin|ROTONDIN|S-768|Z-008|Z008|ZX-008|ZX008;?? Fenfluramine is indicated for the treatment of seizures a… [DB]
41;RIZATRIPTAN;CHEMBL905;4;86.6;0;Triptan for migraine. Generic od, sublingual. Nasal PKPD not diff';??;5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT…;??;?? 269.35 [C] (DrugBank: 269.3449);1.91 [C];49.74;1.0;5.0;—;178.00;4.50;1.90;1.91;10.00 [CT];?;—;—;N02CC04;Migraine Disorders|Migraine with Aura|Migraine without Aura;?? Three distinct pharmacological actions have been implicat… [DB];—;solid [DB];2-3 hours [DB];oral;L-705126|Maxalt|MAXALT|MK-462 FREE BASE|Rizatriptan|RIZATRIPTAN;?? For treatment of acute migraine attacks with or without a… [DB]
42;ESTAZOLAM;CHEMBL285674;4;86.5;0;Benso, generic od, long halflife, nasal pkpd not diff;??;Gamma-aminobutyric acid receptor subunit alpha-…;??;?? 294.75 [C] (DrugBank: 294.738);3.27 [C];43.07;0.0;1.0;—;228.00;4.50;3.26;3.27;2.00 [CT];?;AbbVie;—;N05CD04;Sleep Initiation and Maintenance Disorders|Sleep Wake Disorders;"?? Benzodiazepines bind nonspecifically to benzodiazepine re… [DB] (ChEMBL: GABA-A receptor; anion channel positive allosteric modulator)";"GABA-A receptor; anion channel";solid [DB];The range of estimates for the mean elimination… [DB];oral;ABBOTT-47631|Estazolam|ESTAZOLAM|Estazolam civ|ESTAZOLAM CIV|Eurodin|NSC-290818|Prosom|PROSOM;?? For the short-term management of insomnia characterized b… [DB]
43;ONDANSETRON;CHEMBL46;4;86.4;1;Serotonin antag. For nausea- Generic od iv subling. TBD if nasal PKPD is diff given QTc effs.;??;Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu op…;??;?? 293.37 [C] (DrugBank: 293.363);3.13 [C];39.82;0.0;2.0;—;231.00;4.50;3.12;3.13;8.00 [CT];?;Novartis;2029-11-23;A04AA01;Nausea|Postoperative Nausea and Vomiting|Breast Neoplasms|Alcoholism|Lecithin Cholesterol Acyltransferase Deficiency|Obsessive-Compulsive Disorder|Cocaine-Related Disorders|Pain|Brain Diseases|Gastroenteritis|Uterine Cervical Neoplasms|Lymphoma, Follicular|Sarcoma|HIV Infections|Pancreatic Neoplasms|Tobacco Use Disorder|Lymphoma, Non-Hodgkin|Irritable Bowel Syndrome|Hypotension|Neuralgia|Dyspnea|Hallucinations|Vomiting|Brain Injuries|Amphetamine-Related Disorders|Opioid-Related Disorders|Cholecystitis|Glioma|Gastroparesis|Dementia|Schizophrenia|Neoplasms|Small Cell Lung Carcinoma|Genital Neoplasms, Female|Pruritus|Syncope|Tonsillitis;?? Ondansetron is a selective antagonist of the serotonin re… [DB] (ChEMBL: Serotonin 3a (5-HT3a) receptor antagonist);5-hydroxytryptamine receptor 3A;solid [DB];The half-life of ondansetron after either an 8 … [DB];oral|parenteral;A04AA01|Desmethylondansetron|EUR-1025|GR-38032|NSC-757870|Ondansetron|ONDANSETRON|Zofran odt|ZOFRAN ODT|Zuplenz|ZUPLENZ;"?? In the adult patient population:
i) orally administered … [DB]"
44;HYDROQUINONE;CHEMBL537;4;86.4;0;Skin depigmentation use;;—;;?? 110.11 [C] (DrugBank: 110.1106);1.10 [C];40.46;2.0;0.0;4.00;170.00;10.00;1.10;1.10;—;?;Galderma;—;D11AX11;Melanosis|Lentigo|Hyperpigmentation;?? Hydroquinone reduces melanin pigment production through i… [DB];—;—;—;topical;Black and white bleaching cream|BLACK AND WHITE BLEACHING CREAM|CHEBI:17594|CHEMBL537|Eldopaque forte|ELDOPAQUE FORTE|Eldoquin forte|ELDOQUIN FORTE|Hydroquinone|HYDROQUINONE|Hydroquinone component of tri-luma|HYDROQUINONE COMPONENT OF TRI-LUMA|NCI-C55834|NSC-9247|Solaquin forte|SOLAQUIN FORTE;?? Hydroquinone is used as an OTC topical lightening agent f… [DB]
45;HEXYLRESORCINOL;CHEMBL443605;4;86.4;0;Antiseptic, local anaesthetic;;—;;?? 194.27 [C] (DrugBank: 194.2701);3.22 [C];40.46;2.0;5.0;0.00;67.78;10.00;3.22;3.22;—;?;—;—;R02AA12;—;?? When acting as an oral anesthetic for relieving sore thro… [DB];—;—;Readily accessible data regarding the half-life… [DB];—;4-hexylresorcinol|4-HEXYLRESORCINOL|E-586|Hexylresorcinol|HEXYLRESORCINOL|INS-586|INS NO.586;?? Hexylresorcinol is predominantly employed as the active i… [DB]
46;LOFEXIDINE;CHEMBL17860;4;85.8;0;Alpha adr ag.  OSD.  For opioid withdrawal;??;Alpha-2A adrenergic receptor (Alpha-2 adrenergi…;??;?? 259.14 [C] (DrugBank: 259.132);2.76 [C];33.62;1.0;3.0;—;221.00;9.50;-0.74;0.66;20.00 [CT];?;Biocorrx;—;N07BC04;Opioid-Related Disorders|Cocaine-Related Disorders|Substance-Related Disorders|Heroin Dependence|Marijuana Abuse|Liver Failure;?? Lofexidine is a potent alpha2-adrenergic receptor agonist… [DB];—;solid [DB];The reported elimination half-life of lofexidin… [DB];oral;Lofexidina|LOFEXIDINA|Lofexidine|LOFEXIDINE;?? Lofexidine is indicated for mitigation of symptoms associ… [DB]
47;METHYLPHENIDATE;CHEMBL796;4;85.7;1;Generic IR and ER po and skin patch, controlled use, but in Nosa maybe diff for narcolepsia bit.  not ADHD. TBD if lisdexamfetamine works too.;??;Sodium-dependent serotonin transporter (SERT) (…;??;?? 233.31 [C] (DrugBank: 233.3062);2.09 [C];38.33;1.0;3.0;—;74.00;9.50;-1.41;-0.01;60.00 [CT];?;Novartis;2026-06-05;N06BA04;Cocaine-Related Disorders|Attention Deficit Disorder with Hyperactivity|Amphetamine-Related Disorders|Brain Neoplasms|Feeding and Eating Disorders|Stress Disorders, Post-Traumatic|Prostatic Neoplasms|Postoperative Complications|Tobacco Use Disorder|Hematologic Neoplasms|Substance-Related Disorders|Hypotension, Orthostatic|Opioid-Related Disorders|Dementia|Delirium|Fatigue|Depressive Disorder, Major|Prostatic Neoplasms, Castration-Resistant|Brain Injuries|Depressive Disorder|Asthenia|Chronic Pain|Alzheimer Disease|Parkinson Disease|Multiple Sclerosis|Alcoholism|Anemia, Sickle Cell|Narcolepsy|Bipolar Disorder|Neoplasms;?? While its exact mechanism is unclear, methylphenidate (MP… [DB] (ChEMBL: Dopamine transporter inhibitor);Sodium-dependent dopamine transporter;solid [DB];Concerta: The half-life of methylphenidate in a… [DB];oral|topical;Cotempla xr-odt|COTEMPLA XR-ODT|Daytrana|DAYTRANA|Methylphenidate|METHYLPHENIDATE|Methylphenidate extended release|METHYLPHENIDATE EXTENDED RELEASE|Metilfenidato|METILFENIDATO|Prc-063|PRC-063|Threo-dl-methylphenidate|THREO-DL-METHYLPHENIDATE;?? Methylphenidate is indicated for the treatment of Attenti… [DB]
48;PSILOCIN;CHEMBL65547;2;85.6;0;5HTag. Scheduled use. Po and iv available, nasal pkpd not diff;;—;;?? 204.27 [C];1.98 [C];39.26;2.0;3.0;—;174.50;10.00;1.98;1.98;17.50 [CT];?;—;—;—;—;—;—;—;—;—;4-ho-dmt|4-HO-DMT|Psilocin|Psilocyn|PSILOCYN;—
49;OCTANOIC ACID;CHEMBL324846;2;85.6;0;Substrate, in ketogenic diet of epilepsi. Nasal pkpd not diff vs po for that use;;—;;?? 144.21 [C] (DrugBank: 144.2114);2.43 [C];37.30;1.0;6.0;1.00;16.11;4.20;0.62;-0.77;—;?;—;—;—;Essential Tremor|Myelodysplastic Syndromes|Leukemia, Myeloid, Acute|Small Cell Lung Carcinoma|Carcinoma, Non-Small-Cell Lung|Sarcoma, Myeloid|Gallbladder Neoplasms|Cholangiocarcinoma|Bile Duct Neoplasms;—;—;liquid [DB];—;—;1-heptanecarboxylic acid|1-HEPTANECARBOXYLIC ACID|Acide octanoique|ACIDE OCTANOIQUE|Acido octanoico|ACIDO OCTANOICO|Caprylic acid|CAPRYLIC ACID|EDENOR C 8-98-100|FEMA NO. 2799|Kortacid-0899|KORTACID-0899|N-octanoic acid|N-OCTANOIC ACID|NSC-5024|Octanoic acid|OCTANOIC ACID|Prifac-2901|PRIFAC-2901;—
50;DICHLOROPHEN;CHEMBL33845;2;85.5;0;Anticestodal compound;;—;;?? 269.13 [C] (DrugBank: 269.12);4.00 [C];40.46;2.0;2.0;0.00;177.22;10.00;4.00;4.00;—;?;—;—;P02DX02;Helminthiasis;—;—;—;—;—;Anthiphen|ANTHIPHEN|Dichlorophen|DICHLOROPHEN|Dichlorophene|DICHLOROPHENE|Diclorofeno|DICLOROFENO|Didroxane|DIDROXANE|G-4|NSC-38642|Parabis|PARABIS;—
51;ATOMOXETINE;CHEMBL641;4;85.5;1;NET and SERTi. Oral w good pkpd.Narcolepsia? Eff in ortho hypo but tacyphylaxia - nasal eff?? OSA??;??;Sodium-dependent serotonin transporter (SERT) (…;??;?? 255.36 [C] (DrugBank: 255.3547);3.72 [C];21.26;1.0;6.0;—;161.00;9.50;0.22;1.62;80.00 [CT];?;Lilly;—;N06BA09;Substance-Related Disorders|Cocaine-Related Disorders|Autistic Disorder|Tobacco Use Disorder|Attention Deficit Disorder with Hyperactivity|Sleep Apnea, Obstructive|Amphetamine-Related Disorders|Hypotension, Orthostatic|Opioid-Related Disorders|Cognitive Dysfunction|Sleep Apnea Syndromes|Marijuana Abuse|Orthostatic Intolerance|Tourette Syndrome|Phobia, Social|Schizophrenia|Diabetes Mellitus, Type 1|Parkinson Disease|Alcoholism|Neoplasms|Syncope, Vasovagal;?? Atomoxetine is known to be a potent and selective inhibit… [DB];—;solid [DB];The reported half-life depends on the CYP2D6 ge… [DB];oral;Atomoxetina|ATOMOXETINA|Atomoxetine|ATOMOXETINE|Atomoxetine component of ad-109|ATOMOXETINE COMPONENT OF AD-109|Atomoxetine component of ad109|ATOMOXETINE COMPONENT OF AD109|Atomoxetine component of ad-313|ATOMOXETINE COMPONENT OF AD-313|Atomoxetine component of ad313|ATOMOXETINE COMPONENT OF AD313;?? Atomoxetine is indicated for the treatment of attention d… [DB]
52;BRIMONIDINE;CHEMBL844;4;85.5;0;alpha adr ag. Generic. Glaucoma - topical solution. Also topical in rosacea but not ideal ben/risk.;??;Alpha-2A adrenergic receptor (Alpha-2 adrenergi…;;?? 292.14 [C] (DrugBank: 292.135);1.76 [C];62.20;2.0;1.0;—;207.50;9.50;-1.74;-0.34;1.50 [CT];?;Allergan;2029-07-27;S01GA07|D11AX21|S01EA05;Diabetic Retinopathy|Glaucoma, Open-Angle|Rosacea|Dry Eye Syndromes|Ocular Hypertension|Presbyopia|Eye Manifestations|Glaucoma;?? In the eye, alpha-1 adrenoceptors play a role in vasocons… [DB];—;solid [DB];Following ocular administration of 0.2% brimoni… [DB];topical;AGN-190342 FREE BASE|Brimonidina|BRIMONIDINA|Brimonidine|BRIMONIDINE|NSC-318825|UK-14304|UK-1430418 FREE BASE;"?? **Opthalmic**

Indicated for lowering intraocular press… [DB]"
53;RISOCAINE;CHEMBL2107010;2;85.5;0;Local anesthetic;;—;;?? 179.22 [C];1.84 [C];52.32;1.0;3.0;0.00;75.00;9.50;-1.66;-0.26;—;?;—;—;—;—;—;—;—;—;—;NSC-23516|Propyl p-aminobenzoate|PROPYL P-AMINOBENZOATE|Risocaina|RISOCAINA|Risocaine|RISOCAINE;—
